Stock Name,Field,EPS_2009,EPS_2010,EPS_2011,EPS_2012,EPS_2013,EPS_2014,EPS_2015,EPS_2016,EPS_2017,EPS_2018,EPS_2019,EPS_2020,BV_2009,BV_2010,BV_2011,BV_2012,BV_2013,BV_2014,BV_2015,BV_2016,BV_2017,BV_2018,BV_2019,BV_2020,PE_2009,PE_2010,PE_2011,PE_2012,PE_2013,PE_2014,PE_2015,PE_2016,PE_2017,PE_2018,PE_2019,PE_2020,ROA_2009,ROA_2010,ROA_2011,ROA_2012,ROA_2013,ROA_2014,ROA_2015,ROA_2016,ROA_2017,ROA_2018,ROA_2019,ROA_2020,ROE_2009,ROE_2010,ROE_2011,ROE_2012,ROE_2013,ROE_2014,ROE_2015,ROE_2016,ROE_2017,ROE_2018,ROE_2019,ROE_2020,ROS_2009,ROS_2010,ROS_2011,ROS_2012,ROS_2013,ROS_2014,ROS_2015,ROS_2016,ROS_2017,ROS_2018,ROS_2019,ROS_2020,GOS_2009,GOS_2010,GOS_2011,GOS_2012,GOS_2013,GOS_2014,GOS_2015,GOS_2016,GOS_2017,GOS_2018,GOS_2019,GOS_2020,DAR_2009,DAR_2010,DAR_2011,DAR_2012,DAR_2013,DAR_2014,DAR_2015,DAR_2016,DAR_2017,DAR_2018,DAR_2019,DAR_2020,EPS_,BV_,PE_,ROA_,ROE_,ROS_,GOS_,DAR_,EPS_2008,BV_2008,PE_2008,ROA_2008,ROE_2008,ROS_2008,GOS_2008,DAR_2008,EPS_2007,BV_2007,PE_2007,ROA_2007,ROE_2007,ROS_2007,GOS_2007,DAR_2007,EPS_2006,BV_2006,PE_2006,ROA_2006,ROE_2006,ROS_2006,GOS_2006,DAR_2006
GMC,Manufacturing,3.92,3.94,4.87,5.87,6.12,5.44,6.2,5.15,4.24,7.8,5.86,1.56,13.78,15.15,18.3,19.97,19.99,19.46,22.26,17.9,18.95,24.47,27.04,21.94,7.22,4.75,3.02,3.24,5.02,6.62,5.94,4.89,6.13,4.49,3.19,12.12,16.5,11.27,10.85,11.11,8.67,9.5,8.24,6.9,7.23,11.97,10.15,3.79,28.47,26.02,26.5,29.24,26.83,26.59,26.5,21.9,22.29,31.78,21.61,7.04,9.83,5.69,4.97,4.89,4.64,4.29,4.59,3.78,4.09,5.93,5.98,3.14,22.72,20.45,21.18,15.96,13.52,14.76,16.81,17.07,16.26,17.83,16.77,13.74,42.06,56.68,59.06,61.99,64.15,61.21,68.9,68.48,67.55,62.34,53.02,46.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTA,Manufacturing,0.91,1.21,1.14,1.26,1.19,1.32,1.41,1.48,1.65,1.77,1.86,1.86,14.98,15.12,14.96,15.21,15.25,15.38,15.55,15.66,15.87,16.05,16.2,16.28,13.19,7.69,5.7,5.71,9.33,12.27,11.7,8.92,9.09,8.02,6.53,7.26,4.21,6.14,5.2,5.8,4.1,5.8,4.52,3.14,3.56,2.63,3.32,3.6,5.91,7.78,7.25,7.84,7.38,8.13,8.59,8.93,9.81,10.42,10.86,10.83,3.21,3.11,2.5,2.33,2.49,2.77,2.86,2.97,2.97,3,2.76,3.23,4.96,5.75,6.06,6.01,6.6,7.57,7.4,7.87,7.39,7.24,7.11,7.55,28.8,21.14,28.25,26.01,44.46,28.61,47.33,64.83,63.75,74.75,69.41,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTN,Manufacturing,,,,0.83,0.86,1.27,0.73,0.1,0.16,0.02,,0.38,,,,10.52,10.41,11.69,13.33,11.28,15.25,15.05,,14.85,,,,,,10.08,22.88,166,101.25,515,,71.84,,,,3.57,2.91,7.99,2.61,0.5,0.84,0.17,,2.49,,,,4.96,3.32,10.87,5.5,0.57,1.06,0.21,,2.81,,,,17.7,19.1,13.61,2.6,0.88,1.07,0.26,,3.69,,,,23.4,16,8.43,2.99,4.26,11.61,15.55,,29.08,,,,27.91,9.74,19.94,52.53,12.02,20.58,20.42,,11.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,Manufacturing,,,,,,,,,,0.49,0.81,0.94,,,,,,,,17.29,,12.39,12.65,12.86,,,,,,,,,,21.02,13.09,31.86,,,,,,,,3.57,,2.54,4.14,4.7,,,,,,,,5.51,,3.97,6.42,7.33,,,,,,,,16.01,,13.97,16.41,17.86,,,,,,,,21.69,,23.1,23.34,21.78,,,,,,,,35.24,,35.88,35.56,35.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAP,Manufacturing,,2.36,0.44,0.44,0.73,0.87,0.8,0.24,0.24,0.59,0.36,0.73,24.74,27.07,21.68,19.01,17.26,17.63,13.34,12.02,12.01,12.62,12.39,12.9,,,,,,,,,,,,,5.91,6.78,1.56,1.39,1.92,2.56,3.15,1.29,1.67,3.98,2.42,5,8.87,8.63,2.03,1.98,4.2,4.91,5.12,1.96,1.98,4.65,2.86,5.63,14.33,12.07,2.98,2.92,6.64,7.98,9.39,3.07,3.48,6.86,5.22,12.07,13.24,17.37,15.66,14.46,13.38,15.46,10.75,18.61,13.74,17.94,17.26,12.33,29.4,17.49,22.36,29.08,53.82,47.49,38.52,34.03,16.01,14.42,15.14,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HCD,Manufacturing,,,,,,0.06,1.68,1.39,,1.28,0.73,0.05,,,,,,10.06,10.85,12.32,12.76,12.53,12.69,12.63,,,,,,,,6.39,,3.85,3.89,52.8,,,,,,0.15,3.64,7.39,6.68,7.02,4.3,0.31,,,,,,0.55,6.92,11.88,13.02,9.22,5.74,0.42,,,,,,0.08,2.01,3.14,4.13,5.47,2.76,0.29,,,,,,2.07,5.4,6.09,6.22,7.49,4.04,2.94,,,,,,73.36,47.46,37.85,48.73,23.95,25,26.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHP,Manufacturing,,,,,,,,,1.99,0.78,0.9,1.03,,,,,,,,,12.29,13.4,11.73,12.85,,,,,,,,,,,,,,,,,,,,,3.15,3.86,3.82,4.31,,,,,,,,,6.85,7.79,6.89,9.33,,,,,,,,,5.98,4.25,3.95,4.5,,,,,,,,,11.64,11.17,9.79,9.49,,,,,,,,,53.99,50.39,44.57,53.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HII,Manufacturing,,,,,,,0.75,1.28,3.78,1.55,1.66,1.35,,,,,,,12.38,13.69,22.52,21.71,20.15,17.9,,,,,,,,,7.67,9.29,5.78,12.89,,,,,,,3.05,3.14,5.13,1.65,2.64,2.82,,,,,,,6.07,9.82,18.08,6.22,8.22,7.53,,,,,,,3.43,5.97,4.16,0.77,1,1.06,,,,,,,14.34,22.82,9.75,4.35,5.16,6.74,,,,,,,49.84,68.01,71.61,73.5,67.93,62.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HPG,Manufacturing,6.48,4.55,3.57,2.39,4.66,6.44,4.52,7.16,5.9,4.04,2.73,3.85,24.95,20.13,23.32,19.29,22.67,24.48,19.74,23.55,21.36,19.13,17.31,17.87,9.03,8.51,4.9,8.79,8.82,8.23,6.46,6.03,7.94,7.66,8.61,10.77,12.42,9.05,7.06,5.23,8.47,14.23,13.66,19.87,15.1,10.96,7.4,10.23,25.96,21.09,16.68,12.29,20.57,26.66,24.09,33.26,24.71,21.1,15.75,22.71,15.66,9.46,6.93,5.91,10.32,12.32,12.7,19.84,17.34,15.35,11.82,14.93,24.33,17.23,16.09,14.77,17.34,20.32,20.38,26.29,23.02,20.9,17.57,20.98,49.83,54.79,54.56,54.89,58.46,45.83,43.28,40.26,38.9,48.07,53.05,54.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HRC,Manufacturing,3.81,5.55,7.42,5.15,3.77,3.25,1.46,0.35,0.28,0.26,,0.3,21.38,23.78,26.47,28.06,29.32,29.22,21.93,17.67,17.74,17.74,,17.79,9.82,10.81,6.16,7.18,12.73,13.42,25.48,110.57,121.43,117.31,,170,14.99,18.96,20.65,13.53,9.3,8.18,4.17,1.23,1.06,0.95,,0.84,17.74,23.19,28.05,18.35,12.86,11.13,5.76,1.75,1.6,1.49,,1.67,32.3,23.12,18.61,17.97,16.02,34.8,32.29,10.91,5.05,4.47,,4.76,25.08,25.66,19.48,8.12,3.82,4.37,10.51,13.05,15.94,12.31,,5.05,15.5,18.26,26.37,26.26,27.67,26.51,27.6,29.5,33.35,36.25,,49.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HSG,Manufacturing,3.32,2.24,1.62,3.76,5.94,4.26,5.21,7.35,3.67,1.09,0.82,2.49,19.23,16.98,17.69,20.03,21.93,23.61,28.88,21.01,14.77,13.38,12.91,14.82,15,8.75,5.12,5.11,6.95,11.15,6.05,6.93,6.68,5.97,9.52,8.9,5.94,4.73,2.71,6.92,8.13,4.02,6.92,12.22,6.21,1.93,2.1,6.5,17.27,12.58,8.98,18.24,26.28,17.25,22.43,36.42,25.76,7.94,6.61,17.5,6.69,4.4,1.96,3.65,4.94,2.74,3.74,8.41,5.09,1.19,1.29,4.19,19.61,19,12.93,13.93,14.52,11.68,14.77,23.34,16.9,11.55,11.41,16.81,65.63,62.38,69.86,62.08,69.05,76.69,69.17,66.45,75.89,75.76,68.25,62.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HT1,Manufacturing,1.7,0.36,-0.04,0.05,0.01,0.96,2.32,,1.28,1.68,1.94,1.59,10.62,9.23,8.94,9.52,10.05,11.68,13.92,13.43,13.6,13.57,14.06,14.13,9,31.11,-72.5,82,500,18.12,11.55,,12.15,8.12,7.71,10.97,2.21,0.51,-0.07,0.07,0.02,2.41,6.2,6.87,4.4,6.03,7.2,6.05,13.75,3.31,-0.51,0.49,0.08,8.21,16.69,15.79,9.4,12.39,13.8,11.27,5.7,1.42,-0.17,0.16,0.04,4.51,9.71,9.82,5.94,7.66,8.38,7.63,18.66,16.97,27.83,23.18,22.45,19.73,22,19.71,16.36,16.75,17.66,17.02,83.92,84.53,86.28,85.84,75.63,70.67,62.86,56.51,53.16,51.3,47.86,46.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HVX,Manufacturing,0.36,0.39,0.5,1.03,-0.82,0.23,0.07,0.44,,0.18,0.12,0.11,10.47,10.4,10.55,11.07,10.24,10.28,10.44,10.79,10.75,10.63,10.49,10.58,,17.69,5.2,4.08,-5.24,23.48,91.43,13.64,,23.44,25.58,30.91,2.13,2.57,3.39,6.05,-1.41,0.65,0.27,1.69,0.02,0.79,0.59,0.56,3.48,3.79,4.78,9.28,-8.09,1.71,0.69,3.98,0.04,1.7,1.17,1.01,1.86,1.63,1.4,2.66,-1.99,0.77,0.35,1.91,0.02,0.76,0.58,0.7,9.05,8.92,13.27,15.37,14.72,13.23,11.76,11.04,8.91,7.94,8.16,7.43,38.68,32.09,28.95,34.77,82.6,62.01,60.65,57.63,56.64,53.29,49.48,44.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDI,Manufacturing,1.45,3.23,1.04,0.96,1.08,2.18,1.13,0.61,1.86,3.46,1.56,0.42,11.82,13.38,14.37,14.17,15.2,13.77,12.41,11.84,12.23,13.46,12.7,13.17,,,5.87,7.29,6.67,5.14,7.7,6.61,5.97,2.07,3.3,17.48,3.83,7.05,2.71,2.49,2.23,4.64,2.88,1.86,5.89,9.57,4.18,1.24,12.29,18.03,7.26,6.8,7.12,14.4,8.21,4.39,15.2,23.76,10.82,3.2,4.71,9.68,3.61,2.75,2.28,4.27,3.94,2.34,6.34,9.98,4.05,1.51,14.56,21.37,19.91,15.99,10.17,12.18,14.25,8.25,12.13,15.74,9.04,7.18,68.87,60.88,62.69,63.34,68.71,67.81,64.93,57.66,61.29,59.74,61.42,61.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IMP,Manufacturing,5.66,6.93,5.33,5.02,3.7,3.42,2.72,3.08,2.5,2.52,2.89,2.77,46.59,50.54,46.6,42.75,43.45,30.28,31.33,32.34,32.47,30.44,31.54,25.94,14.93,8.87,7.26,7.03,10.08,12.22,13.79,18.15,26.4,24.17,16.61,20.32,8.98,10.71,9.38,9.01,6.97,8.33,8.5,8.75,6.62,7.82,8.79,10,12.09,13.66,10.95,10.87,8.35,10.77,10.25,10.81,8.41,9.22,10.42,12.12,9.95,10.53,10,9.49,7.21,9.56,9.63,10.01,10.07,11.71,11.58,15.31,44.45,46.19,49.97,46.16,46.34,46.69,39.74,40.09,39.3,39.64,37.64,39.95,25.73,21.54,14.34,17.11,16.55,22.62,17.01,19.03,21.33,15.2,15.61,17.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KDC,Manufacturing,6.12,5.19,2.31,2.32,3.05,2.3,22.58,0.01,1.6,0.14,0.28,0.99,30.4,31.28,31.92,25.08,29.12,24.1,20.91,24.18,30.46,32.57,31.78,27.52,9.89,9.92,11.26,17.24,16.72,21.7,1.08,3635,24.69,172.86,69.46,37.37,11.31,10.37,4.71,6.42,7.74,6.81,78.37,13.28,3,0.31,0.49,1.65,19.87,13.98,7.17,8.83,10.12,8.67,98.22,18.94,4.34,0.47,0.72,2.65,31.42,27.03,6.44,8.26,10.83,10.83,167.83,52.49,4.83,0.51,0.81,2.45,33.05,35.45,39.4,43.61,43.33,43.33,37.43,39.05,20.72,17.02,22.62,21.2,41.61,23.52,33.73,26.64,23.44,20.17,20.2,29.87,30.86,33.2,31.65,37.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KMR,Manufacturing,2.05,1.22,0.11,0.1,0.55,0.1,0.04,0.15,0.14,0.08,0.06,,13.31,13.31,13.64,12.29,12.99,11.45,10.43,10.57,10.45,10.49,10.56,10.55,6.39,6.64,27.27,31,12.91,71,112.5,32.87,30.71,41.12,47.33,,5.67,5.94,0.63,-3.34,3.21,0.68,0.29,1.02,0.99,0.41,0.43,0.02,8.11,8.44,0.89,-4.72,4.31,0.89,0.38,1.39,1.34,0.63,0.71,0.03,15.56,9.01,1.09,-6.15,5.71,1.3,0.54,1.97,2.1,0.89,0.78,0.04,34.99,27.83,18.49,13.86,19.66,19.56,22.17,19.12,20.76,16.73,13.6,13.41,30.13,29.55,28.99,29.22,25.53,22.66,24.05,26.72,26.12,34.63,39.67,45.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LAF,Manufacturing,3.07,7.93,0.73,-10.33,2.28,0.79,1.66,1.68,0.28,-4.32,1.21,1.65,13,18.67,15.78,5.53,7.82,8.61,10.26,11.94,12.22,7.91,9.12,10.77,5.83,2.85,19.73,-0.38,3.55,15.19,8.86,6.67,46.07,-1.27,8.47,6.61,9.97,23.68,1.43,-64.55,17.8,4.85,7.99,7.16,0.9,-29.74,7.06,11.69,20.34,33.58,4.45,-186.7,29.19,9.19,16.14,14.09,2.28,-54.59,13.31,15.3,4.06,9.19,1.14,-16.8,6.25,1.68,2.78,2.83,0.31,-11.1,3.81,5.98,8.8,18.87,6.71,-9.87,7.22,6.37,5.35,6.32,1.68,-6.39,10.17,12.77,51.01,29.47,67.89,65.42,39.03,47.23,50.46,49.16,60.51,45.51,46.93,23.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LBM,Manufacturing,1.65,1.29,1.6,1.57,2.17,1.26,3.68,5.51,5.5,6.14,6.2,6.68,14.4,14.72,14.78,14.28,15.42,15.65,17.88,22.32,27.22,30.65,33.98,37.83,9.7,8.99,4.44,6.11,6.64,10.32,6.39,6.32,6.16,5.23,4.84,5.84,4.39,5.42,6.64,8.17,11.09,6.23,16.12,17.95,13,15.3,14.61,14.82,7.09,8.64,10.41,10.57,13.53,7.71,19.78,23.67,19.65,20.03,17.18,17.67,5.71,6.33,6.02,6.35,8.74,4.96,10.15,13.73,8.38,9.8,9.91,11.06,29.44,31.63,32.2,25.99,26.86,21.36,27.04,32.8,21.21,22.26,21.19,23.71,34.41,33.35,31.71,16.84,12.76,14.51,18.47,24.19,33.85,23.63,14.94,16.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIX,Manufacturing,11.04,7.99,7.19,5.54,3.18,3.74,7.52,4.47,4.18,4.1,4.96,6.38,22.09,25.99,27.55,25.71,15.02,16.94,20.96,13.92,14.59,14.58,17.14,19.68,5.62,7.7,4.17,5.23,9.69,8.56,7.71,12.73,10.31,11.71,8.67,8.46,33.57,20.54,15.91,13.07,12.93,13.11,22.9,20.15,19.02,18.92,19.94,22.61,49.99,30.74,26.11,21.54,21.2,22.08,40.06,34.87,31.25,31.25,32.2,36.1,11.28,7.18,5.2,4.26,4.61,4.74,10.32,8.05,6.98,6.39,7.08,7.93,27.34,19.02,14.97,16.6,17.86,20.02,21.2,20.69,19.41,19.34,22.13,25.47,32.84,33.19,39.04,39.29,38.99,40.62,42.84,42.2,39.14,39.47,38.08,37.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LSS,Manufacturing,5.53,9.65,9.16,0.72,0.81,0.94,1.4,1.8,0.18,0.13,,,23.34,29.37,27.73,25.13,25.78,20.95,23.33,24.06,22.34,21.55,,,7.59,3.68,2.22,22.08,14.32,10.11,6.43,6.53,62.5,52.15,,,15.87,19.33,18.76,1.34,1.85,2.29,3.64,4.83,0.43,0.36,,,22.61,25.5,29.66,2.86,3.14,3.5,6.02,7.48,0.78,0.56,,,14.4,22.38,20.3,4.04,2.19,2.96,4.89,5.3,0.91,0.48,,,20.68,35.72,30.01,19.81,12.22,11.95,13.74,13.89,12.05,7.91,,,29.03,23.19,35.87,52.34,40.42,34.55,39.61,35.42,45.42,34.99,,,,,,,,,,,,19.02,,10.68,16.23,8.18,18.53,31.83,3.02,20.6,,8.44,13.51,8.77,18.09,34.63,,,,,,,,
MCG,Manufacturing,3.43,2.2,0.07,0.01,-3.39,0.74,0.44,0.17,0.04,-2.96,0.22,-0.02,15.41,14.22,12.29,12.26,9.18,9.84,10.4,10.56,12.42,6.94,8.1,4.25,9.77,7.18,98.57,380,-1.59,8.65,9.32,12,100,-0.9,8.09,-112,4.49,2.22,0.17,0.02,-6.34,1.69,1.1,0.48,0.1,-9.25,0.65,-0.11,22.22,6.03,0.54,0.07,-33.44,6.76,3.83,1.48,0.29,-38.62,2.44,-0.43,7.17,6.02,0.24,0.03,-22,3.19,6.13,2.72,1.58,-144.34,9.54,-0.84,12.34,11,3.33,1.72,-12.53,6.4,21.38,9.48,19.33,-43.38,23.02,14.4,79.75,63.07,68.55,72.82,80.88,74.56,71.3,67.85,64.83,76.04,73.16,75.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCP,Manufacturing,1.94,2.26,3.66,2.01,2.27,1.22,1.31,1.19,1.37,1.3,0.07,1.28,14.95,15.9,16.44,15.38,15.84,14.97,13.53,13.76,13.76,13.83,12.95,14.23,7.37,4.65,3.72,6.27,7.22,12.21,7.63,17.39,18.98,17.73,194.29,18.75,6.05,8.1,11.31,7.51,7.31,3.42,5.42,7.07,7.73,8.28,0.33,5.17,9.96,14.17,20.29,13.04,14.32,8.05,8.71,10.5,11.66,10.53,0.51,9,6.18,6.94,9.21,6.23,6.21,3.43,4.66,5.61,6.68,6.35,0.36,2.8,17.16,17.4,21.35,15.02,16.37,13.82,14.75,20.86,18.85,18.55,10.31,6.71,39.31,42.86,44.28,42.36,48.98,57.56,37.76,32.66,33.73,21.38,34.9,42.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSH,Manufacturing,,,,18.67,,24.96,9.88,8.15,8.66,10.23,9.11,4.64,25.09,45.24,41.08,57.6,,47.8,27.01,28.81,31.71,19.6,24.71,28.84,,,,,,,,,,4.01,4.86,8.56,11.75,11.77,11.97,10,,9.04,8.31,8.43,8.42,14.67,17.53,8.82,49.75,43.49,41.66,32.41,,27.47,26.07,28.3,26.53,39.61,36.4,16.07,5.31,6.05,5.55,5.75,,5.89,6.27,6.18,6.11,9.36,10.2,6.08,17.18,17.68,13.23,14.9,,18.06,18.1,16.58,17.18,20.08,21.05,19.69,76.39,72.95,71.27,69.14,,67.08,68.12,70.2,68.28,62.96,51.85,45.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MSN,Manufacturing,2.68,4.64,2.91,1.78,0.62,1.45,1.96,0.02,2.73,4.56,4.77,1.05,9.81,20.62,30.81,20.2,19.64,20.41,36.3,26.45,17.48,29.3,44.39,21.31,12.76,16.16,31.1,57.3,133.06,57.24,39.54,3240,28.1,17,11.84,84.67,5.94,10.8,5.88,3.26,0.97,2.04,2.06,3.82,4.88,7.61,5.71,1.07,8.75,21.49,12.43,9.08,3.13,7.19,5.45,13.74,15.34,14.43,10.71,4.93,10.53,40.87,27.96,12.13,3.78,6.71,4.83,6.45,8.25,12.87,14.88,1.6,34.71,42.81,43.35,40.53,41.86,41.02,32.02,29.86,30.92,31.11,29.29,23.17,27.75,42.5,35.8,49.08,49.98,58.6,62.27,72.19,68.16,47.23,46.67,78.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAF,Manufacturing,,,,,0.45,4.5,1.75,1.63,1.84,0.85,0.62,1.34,,,,,8.6,11.25,13.37,14.23,16.01,13.66,12.01,12.53,,,,,,,17.14,19.2,11.58,18.24,41.61,17.24,,,,,1.71,10.61,8.23,7.87,6.32,2.57,3.77,3.99,,,,,4.13,15.9,11.32,11.43,11.47,5.47,7.02,8.15,,,,,0.96,6.37,8.55,10.59,10.6,4.51,4.6,5.09,,,,,7.98,11.71,20.98,27.4,29.44,23.3,22.37,21.19,,,,,58.56,33.25,27.28,31.16,44.92,53.04,46.36,51.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHH,Manufacturing,,,,,,,,,,3.32,1.66,3.25,,,,,,,,45.44,46.14,52.54,14.28,17.53,,,,,,,,,,10.33,27.11,17.48,,,,,,,,15.48,12.87,10.59,4.92,6.61,,,,,,,,25.13,19.26,16.35,11.52,17.61,,,,,,,,8.2,6.49,5.42,4.6,10.57,,,,,,,,16.78,16.36,13.3,12.9,16.13,,,,,,,,38.38,33.17,35.21,57.29,62.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NKG,Manufacturing,6.22,5.16,0.48,-3.52,1.73,2.21,3.03,10.28,7.14,0.36,0.26,1.67,11.68,16.55,12.83,9.3,11.03,12.69,14.58,23.93,22.62,16.33,16.58,17.48,,,28.54,-2.73,5.09,6.06,4.16,3.4,5.43,21.97,26.54,8.98,8.4,6.4,0.6,-4.62,2.23,2.61,3.53,8.1,6.95,0.71,0.59,3.8,42.42,27.42,3.02,-37.82,15.72,15.13,19.7,32.76,24.06,1.93,1.57,9.28,5.21,4.06,0.45,-3.59,1.11,1.31,2.19,5.79,5.61,0.39,0.39,2.55,9.36,10.02,8.01,4.03,6.48,5.44,7.76,11.32,10.84,5.35,2.81,7.52,80.19,76.5,80.09,87.79,85.8,82.75,82.09,75.27,71.1,63.42,62.59,59.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPC,Manufacturing,5.96,6.12,4.09,4.45,4.38,3.4,3.19,2.78,3.09,3.42,3.4,3.97,32.97,35.92,24.91,26.46,28.19,20.21,18.04,21.51,22.56,23.55,25.87,26.73,9.56,6.37,6.55,8.54,14.61,11.44,10.97,13.99,19.42,14.5,13.53,14.99,12.82,12.6,10.81,11.19,10.45,12.32,11.88,10.08,8.17,8.25,8.55,9.18,18.29,17.18,16.49,16.39,15.52,16.85,15.4,14.35,15.21,15.68,14.68,14.89,13.3,14.24,12.34,11.07,9.98,10.73,10.6,9.88,9.03,9.79,10.2,10.96,36.68,44.24,50.89,48.94,50.71,50.71,45.51,44.19,42.23,43,42.13,38.9,29.94,26.65,34.46,31.71,32.69,26.88,22.83,29.74,46.27,47.37,41.72,38.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAC,Manufacturing,9.07,6.08,3.98,2.41,2.31,2.8,2.33,,3.04,3.13,3.23,2.88,20.25,21.32,20.37,19.65,18.46,18.95,16.34,13.56,14.42,12.91,14.38,15.71,8.16,8.88,3.82,6.22,8.4,8.07,14.29,,15.97,12.38,7.74,9.55,22.06,11.8,8.16,5.6,4.29,5.96,7.16,11.19,7.63,6.95,6.71,6.19,35.53,27.09,17.62,12.1,12.32,14.58,17.88,29.78,20.26,26.33,24.94,20.35,11.32,7.82,4.89,3.43,3.27,3.68,4.27,8.19,5.2,5.32,5.41,5.03,28.79,22.21,20.99,20.17,18.46,18.63,17.59,18.6,12.19,14.04,15,15.17,37.93,56.43,53.7,53.72,65.01,59.14,59.97,62.41,62.36,73.61,73.08,69.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAN,Manufacturing,4.91,1.98,1.23,7.32,-0.11,1.83,2.51,2.49,3.16,2.7,1.49,0.91,29.67,22.45,21.98,28.26,25.83,19.71,26.94,28.55,35.39,43.88,35.5,28.53,6.31,9.04,10.65,2.73,-341.82,22.95,13.86,17.19,11.39,16.11,18.79,38.13,14.71,6.74,4.42,21.91,-0.19,4.45,5.83,6.83,6.22,3.54,2.39,1.66,16.56,7.72,5.11,24.8,-0.39,8.25,7.92,8.79,8.94,5.6,4.19,3.05,21.74,9.93,5.39,28.52,-0.33,8.94,8.13,9.33,9.14,4.27,3.29,2.26,21.03,18.77,18.88,20.29,21.45,26.74,25.53,23.33,23.01,17.72,21.22,18.45,10.96,12.32,12.89,11.13,33.92,23.62,26.44,22.28,30.36,36.73,42.91,45.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHR,Manufacturing,3.31,6.27,10.35,7.64,4.74,3.36,2.7,2.8,4.15,4.67,2.86,7.71,14.26,15.8,21.67,24.9,26.51,27.71,26.98,28.24,29.66,19.83,19.2,24.44,11.81,6.22,2.53,3.68,6.37,7.98,6.04,9.02,10.45,7.16,13.36,8.17,14.3,21.79,26.64,19.4,10.92,7.69,6.41,5.7,7.58,12.35,7.68,16.55,23.06,39.1,46.7,29.72,17.25,11.71,9.65,9.59,13.5,23.39,17.3,32.67,25.02,24.74,31.84,27.18,19.6,16.44,17.25,18.68,19.68,40.33,27.45,66.31,26.49,34.95,39.56,29.54,26.24,17.15,13.81,13.42,17.16,17.61,21.55,23.82,37.79,43.58,42.31,33.95,35.87,32.94,33.55,40.53,43.86,47.19,55.57,49.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLP,Manufacturing,,,,,,,13.14,75.88,3.97,3.6,2.2,1,,,,,,,10.13,10.89,13.57,17.36,16.38,11.09,,,,,,,,,5.21,3.86,4.27,9.73,,,,,,,0.63,2.95,12.45,9.71,4.99,3.11,,,,,,,1.3,6.97,25.4,22.81,12.21,8.97,,,,,,,4.06,5.91,16.47,11.44,4.76,2.23,,,,,,,24.75,16.21,30.1,21.39,12.08,8.82,,,,,,,51.72,57.72,50.99,57.42,59.13,65.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PME,Manufacturing,5574,9.6,11.38,14.14,15.74,7.79,5.68,5.14,4.98,4.08,4.25,,31.1,36.92,43.22,53.66,39.12,33.87,27.12,26.43,24.68,23.8,26.06,,,,,,,,,,16.87,15.56,12.78,,6.54,10.79,11.38,12.39,13.73,12.78,13.34,14.76,14.64,14.5,13.94,,17.92,25.99,26.32,25.63,21.27,16.35,16.87,18.04,17.8,17.33,16.42,,6.95,10.45,11.36,12.14,12.5,12.9,14.03,15.87,17.66,18.47,17.38,,34.23,39.36,52.16,51.9,51.79,49.4,47.7,47.73,48.12,48.16,44.68,,63.52,58.48,56.77,51.64,35.45,21.85,20.91,18.19,17.71,16.3,15.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
